id,category,fromdate,todate,sourcename,title,url,seendate,sourcecountry,language,sentiment
576127361,Election,06/10/2024,05/11/2024,yahoo.com,Fulton judge says Georgia law requires county election officials to certify results,https://www.yahoo.com/news/fulton-judge-says-georgia-law-163353328.html,20241015T171500Z,United States,English,0
198252652,Election,06/10/2024,05/11/2024,yahoo.com,"How do officials call , certify a Presidential Election",https://www.yahoo.com/news/officials-call-certify-presidential-election-182946248.html,20241011T211500Z,United States,English,0
272140811,Election,06/10/2024,05/11/2024,newsweek.com,"Georgia Election Officials Must Certify Election Results , Judge Rules",https://www.newsweek.com/georgia-election-officials-must-certify-results-judge-rules-1969351,20241015T171500Z,United States,English,0
876685410,Election,06/10/2024,05/11/2024,yahoo.com,Georgia new poll watcher and hand count rules loom large as early voting begins,https://www.yahoo.com/news/georgia-poll-watcher-hand-count-050009144.html,20241014T060000Z,United States,English,1
142509566,Election,06/10/2024,05/11/2024,yahoo.com,  Georgia voters would be silenced : Judge tells local officials that they must certify the election,https://www.yahoo.com/news/georgia-voters-silenced-judge-tells-184242031.html,20241015T191500Z,United States,English,0
744344788,Election,06/10/2024,05/11/2024,247wallst.com,A Majority of Counties in This Blue State Vote Republican,https://247wallst.com/politics/2024/10/07/a-majority-of-counties-in-this-blue-state-vote-republican/,20241007T141500Z,United States,English,0
600282728,Election,06/10/2024,05/11/2024,npr.org,Why the Electoral College map colors can change : NPR,https://www.npr.org/2024/10/06/nx-s1-5141959/electoral-college-map-what-is-blue-shift-red-mirage,20241007T101500Z,United States,English,0
373066366,Election,06/10/2024,05/11/2024,forbes.com,Republican Efforts In Georgia To Deny Local Election Results Denied By Judge,https://www.forbes.com/sites/alisondurkee/2024/10/15/judge-thwarts-gop-georgia-election-officials-says-board-must-certify-vote-counts/,20241015T150000Z,United States,English,0
578870588,Election,06/10/2024,05/11/2024,edition.cnn.com,How a cop - turned - therapist is helping election workers deal with threats and harassment,https://edition.cnn.com/2024/10/18/politics/cop-turned-therapist-helping-election-workers/,20241019T004500Z,United States,English,0
473959686,Election,06/10/2024,05/11/2024,ocregister.com,How voting machines work,https://www.ocregister.com/2024/10/11/2024-election-explainer-voting-machines/,20241011T111500Z,United States,English,0
779451478,Election,06/10/2024,05/11/2024,orlandosentinel.com,How voting machines work,https://www.orlandosentinel.com/2024/10/11/2024-election-explainer-voting-machines/,20241011T134500Z,United States,English,0
373387355,Election,06/10/2024,05/11/2024,pilotonline.com,How voting machines work,https://www.pilotonline.com/2024/10/11/2024-election-explainer-voting-machines/,20241011T113000Z,United States,English,0
964615830,Election,06/10/2024,05/11/2024,yahoo.com,Officials monitoring threats to U . S . elections,https://www.yahoo.com/news/officials-monitoring-threats-u-elections-211213782.html,20241011T001500Z,United States,English,0
440284586,Election,06/10/2024,05/11/2024,yahoo.com,"St . Charles County reach new high in voter registration , ensures secure ballots",https://www.yahoo.com/news/st-charles-county-reach-high-164442207.html,20241010T183000Z,United States,English,1
946533451,Election,06/10/2024,05/11/2024,zerohedge.com,"Georgia Judge Rules County Officials Cant Delay , Decline To Certify Election Results",https://www.zerohedge.com/political/georgia-judge-rules-county-officials-cant-delay-decline-certify-election-results,20241016T001500Z,United States,English,0
813787328,Election,06/10/2024,05/11/2024,king5.com,When does early voting start ? State - by - state breakdown,https://www.king5.com/article/news/nation-world/early-voting-start-date-50-state-breakdown/507-1bc638d1-ee94-4f10-84d1-3cdb5d8e56a3,20241018T160000Z,United States,English,1
332782580,Election,06/10/2024,05/11/2024,newdelhitimes.com,Georgia judge rules county election officials must certify election results,https://www.newdelhitimes.com/georgia-judge-rules-county-election-officials-must-certify-election-results/,20241016T143000Z,United States,English,0
851115466,Election,06/10/2024,05/11/2024,yahoo.com,"Early voting begins in Indiana today . If youre registered to vote , you can still vote absentee",https://www.yahoo.com/news/early-voting-begins-indiana-today-080123968.html,20241008T084500Z,United States,English,1
203986391,Election,06/10/2024,05/11/2024,yahoo.com,How Georgia Black Voters Could Be Impacted by the Election Rules Decision,https://www.yahoo.com/news/georgia-black-voters-could-impacted-192000009.html,20241007T204500Z,United States,English,-1
613566143,Election,06/10/2024,05/11/2024,euronews.com,US election : Georgia judge blocks hand counting rule for Election Day ballots,https://www.euronews.com/2024/10/16/us-election-georgia-judge-blocks-hand-counting-rule-for-election-day-ballots,20241016T154500Z,United States,English,0
122717341,Election,06/10/2024,05/11/2024,upi.com,Georgia judge rules that county election boards must certify results,https://www.upi.com/Top_News/US/2024/10/15/Georgia-judge-election-boards-certify/1071729007330/,20241015T171500Z,United States,English,0
437575610,Election,06/10/2024,05/11/2024,abcnews.go.com,Nearly 9 million have cast ballots as early voting starts across the US,https://abcnews.go.com/Politics/9-million-cast-ballots-early-voting-starts-us/story?id=114906091,20241018T011500Z,United States,English,1
259026665,Election,06/10/2024,05/11/2024,yahoo.com,Georgia judge blocks ballot hand count rule from taking effect before election,https://www.yahoo.com/news/georgia-judge-blocks-ballot-hand-022105923.html,20241016T051500Z,United States,English,0
762744441,Election,06/10/2024,05/11/2024,abcnews.go.com,"Voting systems have been under attack since 2020 , but are tested regularly for accuracy and security",https://abcnews.go.com/Politics/wireStory/voting-systems-attack-2020-tested-regularly-accuracy-security-114614001,20241008T231500Z,United States,English,0
136653643,Election,06/10/2024,05/11/2024,yahoo.com,"2024 election update : Kamala Harris FOX interview , Trump in NYC , latest polls",https://www.yahoo.com/news/2024-election-kamala-harris-fox-125934813.html,20241017T173000Z,United States,English,1
848987013,Election,06/10/2024,05/11/2024,motherjones.com,A Georgia Judge Just Blocked 7 Rules Passed by MAGA Election Officials – Mother Jones,https://www.motherjones.com/politics/2024/10/a-georgia-judge-just-blocked-7-rules-passed-by-maga-election-officials/,20241017T174500Z,United States,English,0
104645214,Election,06/10/2024,05/11/2024,salon.com,  Severely compromised : Experts warn right - wing SCOTUS justices may  seek to intervene  in election,https://www.salon.com/2024/10/09/severely-compromised-experts-warn-right-wing-scotus-justices-may-seek-to-intervene-in/,20241009T201500Z,United States,English,1
486832504,Election,06/10/2024,05/11/2024,yahoo.com,"Local election officials in Georgia must certify results , judge rules",https://www.yahoo.com/news/local-election-officials-georgia-must-182205815.html,20241015T190000Z,United States,English,0
955573135,Election,06/10/2024,05/11/2024,pressherald.com,Georgia judge rules county election officials cant refuse to certify election results,https://www.pressherald.com/2024/10/15/georgia-judge-rules-county-election-officials-cant-refuse-to-certify-election-results/,20241015T203000Z,United States,English,0
107447698,Election,06/10/2024,05/11/2024,wpde.com,Unique election focuses from candidates and election officials emphasize transparency,https://wpde.com/news/instagram/unique-election-focuses-from-candidates-and-election-officials-emphasize-transparency-wciv-abc-news-4-election-season-political-science-professor-state-election-commission,20241007T143000Z,United States,English,1
856524620,Election,06/10/2024,05/11/2024,washingtonexaminer.com,Fulton County sues Georgia Election Board over election monitoring,https://www.washingtonexaminer.com/news/campaigns/state/3182082/fulton-county-sues-georgia-election-board-control-election-monitoring/,20241009T033000Z,United States,English,0
244972144,Election,06/10/2024,05/11/2024,us.cnn.com,Trump - allied Georgia election board wants 2020 election deniers to monitor Atlanta - area voting,https://us.cnn.com/2024/10/08/politics/georgia-election-board-atlanta-fulton-county/,20241009T014500Z,United States,English,1
470190229,Election,06/10/2024,05/11/2024,yahoo.com,Courts in US battleground states move to swiftly decide election cases,https://www.yahoo.com/news/courts-us-battleground-states-move-233222629.html,20241016T000000Z,United States,English,0
852146349,Election,06/10/2024,05/11/2024,yahoo.com,"After months of rewriting rules , Georgia election board meets once more before November",https://www.yahoo.com/news/months-rewriting-rules-georgia-election-050029748.html,20241007T053000Z,United States,English,1
739690462,Election,06/10/2024,05/11/2024,mediaite.com,Kristen Welker Asks Tom Cotton If Trump Lost 2020 Election,https://www.mediaite.com/tv/nbcs-kristen-welker-grills-gop-senator-for-refusing-to-say-trump-lost-in-2020-do-you-just-not-want-to-say-it/,20241007T000000Z,United States,English,0
892958620,Election,06/10/2024,05/11/2024,abcnews.go.com,"Not everything will run perfectly on Election Day . Still , US elections are remarkably reliable",https://abcnews.go.com/Politics/wireStory/run-perfectly-election-day-us-elections-remarkably-reliable-114616411,20241008T231500Z,United States,English,1
323620381,Election,06/10/2024,05/11/2024,breitbart.com,Georgia judge blocks ballot counting rule and says county officials must certify election results,https://www.breitbart.com/news/georgia-judge-rules-county-election-officials-must-certify-election-results/,20241016T150000Z,United States,English,0
289566185,Election,06/10/2024,05/11/2024,yahoo.com,GA judge blocks hand - counting ballot rule,https://www.yahoo.com/news/ga-judge-blocks-hand-counting-090835179.html,20241016T103000Z,United States,English,0
949559023,Election,06/10/2024,05/11/2024,yahoo.com,"Mississippi receives more than 23 , 000 absentee ballots ahead of 2024 election",https://www.yahoo.com/news/mississippi-receives-more-23-000-192052405.html,20241007T221500Z,United States,English,1
487101884,Election,06/10/2024,05/11/2024,yahoo.com,When does early voting start in Missouri ? ,https://www.yahoo.com/news/does-early-voting-start-missouri-210400301.html,20241016T233000Z,United States,English,1
762008947,Election,06/10/2024,05/11/2024,wcvb.com,A judge has blocked a new rule that requires Georgia Election Day ballots to be counted by hand after the close of voting,https://www.wcvb.com/article/georgia-judge-blocks-ballot-counting-rule/62617277,20241016T063000Z,United States,English,1
958524902,Election,06/10/2024,05/11/2024,mercurynews.com,How early voting before Election Day became widespread,https://www.mercurynews.com/2024/10/12/advance-early-voting-absentee-mail-ballots/,20241012T121500Z,United States,English,1
646338006,Election,06/10/2024,05/11/2024,newsweek.com,Election Foul Play Why Im Suing Georgia Governor | Opinion,https://www.newsweek.com/election-foul-playwhy-im-suing-georgias-governor-opinion-1964127,20241007T113000Z,United States,English,0
445010050,Election,06/10/2024,05/11/2024,yahoo.com,Election officials in US state of Georgia must certify results : judge,https://www.yahoo.com/news/election-officials-us-state-georgia-170947475.html,20241015T174500Z,United States,English,0
909842665,Election,06/10/2024,05/11/2024,forbes.com,Georgia Judge Blocks Hand - Counting Of Ballots Rule In Another Blow To State GOP Election Officials,https://www.forbes.com/sites/siladityaray/2024/10/16/georgia-judge-blocks-hand-counting-of-ballots-rule-in-another-blow-to-states-gop-election-officials/,20241016T063000Z,United States,English,0
883799484,Election,06/10/2024,05/11/2024,yahoo.com,​Fulton County sues State Election Board over election monitors,https://www.yahoo.com/news/fulton-county-sues-state-election-024201851.html,20241010T053000Z,United States,English,0
854816331,Election,06/10/2024,05/11/2024,propublica.org,"Georgia Election Officials Must Certify Election Results , Judge Rules ProPublica",https://www.propublica.org/article/georgia-election-results-certification-counting-votes,20241016T170000Z,United States,English,0
455105544,Election,06/10/2024,05/11/2024,journalstar.com,Important dates for Nebraska 2024 General Election,https://journalstar.com/news/local/government-politics/elections/nebraska-general-election-date-deadline-november/article_802643f4-80e1-11ef-8ceb-a7a9772e516d.html,20241007T144500Z,United States,English,1
503618545,Election,06/10/2024,05/11/2024,c-span.org,2024 Election Night - What to Expect | C - SPAN Classroom,https://www.c-span.org/classroom/document/?23480,20241016T171500Z,United States,English,0
836256916,Election,06/10/2024,05/11/2024,politicalwire.com,Why the Supreme Court May Not Decide the Election,https://politicalwire.com/2024/10/10/why-the-supreme-court-may-not-decide-the-election/,20241010T164500Z,United States,English,0
191924437,Election,06/10/2024,05/11/2024,baltimoresun.com,How early voting before Election Day became widespread,https://www.baltimoresun.com/2024/10/12/advance-early-voting-absentee-mail-ballots/,20241012T110000Z,United States,English,1
119812596,Election,06/10/2024,05/11/2024,ajc.com,Some Republicans in Georgia are fighting the State Election Board rule changes,https://www.ajc.com/politics/some-republicans-in-georgia-are-fighting-the-state-election-boards-rule-changes/DSKENAH4FRFUHJJ4JLCN2NH3PM/,20241010T230000Z,United States,English,0
533127962,Election,06/10/2024,05/11/2024,euronews.com,Record turnout reported in US battleground state of Georgia during first day of early voting,https://www.euronews.com/2024/10/16/record-turnout-reported-in-us-battleground-state-of-georgia-during-first-day-of-early-voti,20241016T034500Z,United States,English,1
260899412,Election,06/10/2024,05/11/2024,benzinga.com,"Trump Vs . Harris : 2024 Election Swing State Poll  Too Close To Call , But This Candidate Leads",https://www.benzinga.com/general/politics/24/10/41283673/trump-vs-harris-2024-election-swing-state-poll-too-close-to-call-but-this-candidate-leads,20241011T001500Z,United States,English,0
763462330,Election,06/10/2024,05/11/2024,washingtontimes.com,"Judge blocks Georgia ballot hand counting rule , says officials must certify results by deadline",https://www.washingtontimes.com/news/2024/oct/15/judge-blocks-georgia-ballot-hand-counting-rule-say/,20241016T031500Z,United States,English,0
299962569,Election,06/10/2024,05/11/2024,zerohedge.com,Adversarial Process Or Oppo Research ? Judge Agrees To Release More Trump Material Before The Election,https://www.zerohedge.com/political/adversarial-process-or-oppo-research-judge-agrees-release-more-trump-material-election,20241011T211500Z,United States,English,1
883658560,Election,06/10/2024,05/11/2024,wcvb.com,Election special : Commitment 2024 program debunks disinformation,https://www.wcvb.com/article/election-day-debunking-disinformation-clarify-voting-process-ai-deepfakes-voter-fraud/62626103,20241019T001500Z,United States,English,1
